Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,test_getSortedList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.datastruct.dag,HashDirectedAcyclicGraphTest,test_getSortedList,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Allay,org.allaymc.api.item.recipe,RecipeTest,testShapedRecipe,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 27
Allay,org.allaymc.api.item.recipe,RecipeTest,testShapeless,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.math.voxelshape,VoxelShapeTest,testStairShape,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Allay,org.allaymc.api.math.voxelshape,VoxelShapeTest,testCauldronShape,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.api.math.voxelshape,VoxelShapeTest,testTranslate,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Allay,org.allaymc.api.utils,AllayNbtUtilsTest,testWriteVector3f,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.utils,AllayNbtUtilsTest,testReadVector3f,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.utils,GameLoopTest,testSlowLoop,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Allay,org.allaymc.api.utils,GameLoopTest,testSlowLoop,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Allay,org.allaymc.api.utils,ReflectionUtilsTest,testGetAllMethods,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.api.utils,ReflectionUtilsTest,testGetAllMethods,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
Allay,org.allaymc.api.utils,StringUtilsTest,testFastSplit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Allay,org.allaymc.api.utils,StringUtilsTest,testFastTwoPartSplit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.utils,UtilsTest,testComputeRequiredBits,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
Allay,org.allaymc.api.zlib,ZlibTest,testCompressZlib,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.zlib,ZlibTest,testCompressZlib,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Allay,org.allaymc.api.zlib,ZlibTest,testDecompressZlib,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.api.zlib,ZlibTest,testDecompressZlib,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Allay,org.allaymc.api.zlib,ZlibTest,testCompressGZip,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Allay,org.allaymc.api.zlib,ZlibTest,testDecompressGZip,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
Allay,org.allaymc.server.block.type,AllayBlockTypeTest,testDefaultItemType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.server.block.type,AllayBlockTypeTest,testCommon,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
Allay,org.allaymc.server.block.type,AllayBlockTypeTest,testBlockStateHash,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.server.block.type,AllayBlockTypeTest,testBlockAttributes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.server.block.type,AllayBlockTypeTest,testSpecialValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.server.command,CommandNodeTest,testRootNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.server.command,CommandTreeTest,testSimpleParse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
Allay,org.allaymc.server.command,CommandTreeTest,testNormalParamWithOptionalParamParse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.server.command,CommandTreeTest,testDoubleOptionalNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.server.command,CommandTreeTest,testComplexOptionalNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
Allay,org.allaymc.server.command,CommandTreeTest,testPosNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.server.command.selector,ParseUtilsTest,testParseOffsetInt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.server.command.selector,ParseUtilsTest,testParseOffsetFloat,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
Allay,org.allaymc.server.command.selector,ParseUtilsTest,testCheckReversed,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.server.command.selector,ParseUtilsTest,testCheckBetween,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
Allay,org.allaymc.server.command.selector,ParseUtilsTest,testParseGameMode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
Allay,org.allaymc.server.container,ContainerTest,testEmptySlotPlaceHolder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
Allay,org.allaymc.server.container,ContainerTest,testContainerOpenAndCloseListener,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
